1,"800100","マシュ・キリエライト"
,"宝具","？？？","不明","？？？","不明","？"
,"宝具","仮想宝具 疑似展開／人理の礎","味方全体の防御力をアップ(3ターン)<オーバーチャージで効果UP>＆被ダメージカット状態を付与[{0}](3ターン)","ロード・カルデアス","対人宝具","D"
,"宝具","いまは遙か理想の城","味方全体の防御力をアップ(3ターン)<オーバーチャージで効果UP>＆被ダメージカット状態を付与[{0}](3ターン)＋自身を除く味方全体の攻撃力をアップ(3ターン)","ロード・キャメロット","対悪宝具","B+++"
,"宝具","いまは脆き夢想の城","味方全体の防御力をアップ(3ターン)<オーバーチャージで効果UP>＆被ダメージカット状態を付与[{0}](3回・5ターン)","モールド・キャメロット","対人宝具","D"
,"技能","今は脆き雪花の壁","味方全体の防御力をアップ[{0}](3ターン)"
,"技能","誉れ堅き雪花の壁","味方全体の防御力をアップ[{0}](3ターン)＆被ダメージカット状態を付与(1回)"
,"技能","時に煙る白亜の壁","味方単体に無敵状態を付与(1ターン)＆NPを増やす[{0}]"
,"技能","奮い断つ決意の盾","自身にターゲット集中状態を付与(1ターン)＆NP獲得量を大アップ[{0}](1ターン)"
,"技能","バンカーボルト A","自身のBusterカード性能をアップ[{0}](1回・3ターン)＆Buster攻撃のクリティカル威力をアップ[{0}](1回・3ターン)"
,"技能","アマルガムゴート D","自身にターゲット集中状態を付与(1ターン)＆NPを増やす[{0}]"
,"技能","悲壮なる奮起の盾","自身に無敵状態を付与(1ターン)＆ターゲット集中状態を付与(1ターン)＆HPを減らす[{0}]【デメリット】"
,"被动","対魔力 A","自身の弱体耐性をアップ"
,"被动","騎乗 C","自身のQuickカードの性能を少しアップ"
2,"100100","アルトリア・ペンドラゴン"
,"宝具","約束された勝利の剣","敵全体に強力な攻撃[{0}] ＋ 自身のNPをリチャージ<オーバーチャージで効果UP>","エクスカリバー","対城宝具","A"
,"宝具","約束された勝利の剣","敵全体に強力な攻撃[{0}][g][o]▲[/o][/g] ＋ 自身のNPをリチャージ<オーバーチャージで効果UP>","エクスカリバー","対城宝具","A++"
,"技能","カリスマ B","味方全体の攻撃力をアップ[{0}](3ターン)"
,"技能","魔力放出 A","自身のBusterカード性能をアップ[{0}](1ターン)"
,"技能","直感 A","スターを大量獲得[{0}]"
,"技能","輝ける路 EX","自身のNPを増やす[{0}][g][o]▲[/o][/g]&スターを大量獲得[{0}]"
,"被动","対魔力 A","自身の弱体耐性をアップ"
,"被动","騎乗 B","自身のQuickカードの性能をアップ"
3,"100200","アルトリア・ペンドラゴン〔オルタ〕"
,"宝具","約束された勝利の剣","敵全体にとても強力な攻撃[{0}] ＋ 自身のNPを少しリチャージ<オーバーチャージで効果UP>","エクスカリバー・モルガン","対城宝具","A++"
,"技能","魔力放出 A","自身のBusterカード性能をアップ[{0}](1ターン)"
,"技能","直感 B","スターを大量獲得[{0}]"
,"技能","カリスマ E","味方全体の攻撃力をアップ[{0}](3ターン)"
,"被动","対魔力 B","自身の弱体耐性をアップ"
4,"100300","アルトリア・ペンドラゴン〔リリィ〕"
,"宝具","勝利すべき黄金の剣","敵全体に強力な攻撃[{0}] ＋ 自身のHPを大回復<オーバーチャージで効果UP>","カリバーン","対人宝具","B"
,"宝具","勝利すべき黄金の剣","敵全体に強力な攻撃[{0}][g][o]▲[/o][/g] ＋ 自身のHPを大回復[g][o]▲[/o][/g]<オーバーチャージで効果UP>","カリバーン","対人宝具","B+"
,"技能","直感 B","スターを大量獲得[{0}]"
,"技能","魔力放出 A","自身のBusterカード性能をアップ[{0}](1ターン)"
